,inland,coast
0,000100-block3,002300-block1
1,000100-block2,002300-block2
2,000100-block1,001901-block3
3,000200-block1,001901-block1
4,000200-block2,001901-block2
5,000400-block2,001902-block3
6,000400-block1,001902-block1
7,000500-block2,001902-block2
8,000500-block1,002002-block2
9,000600-block1,002002-block1
10,000700-block1,002002-block3
11,000700-block2,002002-block4
12,000900-block1,002004-block1
13,000900-block2,002004-block2
14,001000-block2,002005-block1
15,001000-block1,002005-block2
16,001100-block1,002005-block3
17,001100-block2,002006-block2
18,001100-block3,002006-block3
19,001500-block2,002006-block1
20,001500-block1,002007-block2
21,004400-block1,002007-block1
22,004400-block2,002008-block2
23,005100-block1,002008-block3
24,005300-block1,002008-block1
25,005300-block2,002009-block1
26,005300-block3,002009-block2
27,005400-block2,002009-block3
28,005400-block1,002103-block2
29,005900-block2,002103-block1
30,005900-block1,002103-block4
31,005900-block3,002103-block3
32,003104-block1,002106-block1
33,003104-block2,002106-block2
34,003105-block2,002107-block1
35,003105-block1,002107-block4
36,003106-block4,002107-block3
37,003106-block1,002107-block2
38,003106-block3,002108-block2
39,003106-block2,002108-block1
40,003107-block2,002104-block2
41,003107-block1,002104-block1
42,003107-block3,002105-block2
43,003108-block1,002105-block1
44,003108-block2,005001-block1
45,003109-block1,005001-block2
46,003109-block2,005002-block1
47,003110-block4,005002-block3
48,003110-block1,005002-block4
49,003110-block3,004607-block4
50,003110-block2,004607-block1
51,003111-block1,004607-block3
52,003111-block4,004607-block2
53,003111-block3,004609-block1
54,003111-block2,004609-block4
55,003113-block1,004609-block2
56,003113-block2,004609-block3
57,003115-block3,004610-block1
58,003115-block2,004610-block2
59,003115-block1,004612-block4
60,003116-block3,004612-block3
61,003116-block2,004612-block1
62,003116-block1,004612-block2
63,003117-block1,004613-block1
64,003117-block2,004614-block1
65,003200-block2,004614-block3
66,003200-block1,004614-block2
67,003300-block2,004615-block1
68,003300-block4,004615-block2
69,003300-block3,004615-block3
70,003300-block1,004616-block3
71,003400-block1,004616-block2
72,003400-block4,004616-block1
73,003400-block3,004617-block1
74,003400-block2,004617-block2
75,003500-block2,004618-block1
76,003500-block1,004618-block2
77,003600-block1,004619-block1
78,003600-block3,004619-block2
79,003600-block2,004619-block3
80,003700-block2,004620-block1
81,003700-block3,004620-block2
82,003700-block1,004620-block3
83,003800-block2,004621-block1
84,003800-block1,004621-block4
85,003800-block3,004621-block3
86,003900-block2,004621-block2
87,003900-block3,004622-block1
88,003900-block1,004622-block2
89,004000-block1,004701-block4
90,004000-block2,004701-block1
91,004300-block3,004701-block3
92,004300-block2,004701-block2
93,004300-block1,004702-block1
94,004300-block4,004800-block2
95,004400-block1,004800-block1
96,004400-block2,004901-block2
97,005400-block2,004901-block1
98,005400-block1,004902-block1
99,005500-block1,004902-block2
100,005500-block2,004902-block3
101,002604-block2,002200-block1
102,002604-block1,002200-block2
103,002604-block3,
104,002605-block2,
105,002605-block1,
106,002606-block2,
107,002606-block1,
108,002611-block1,
109,002611-block2,
110,002612-block3,
111,002612-block2,
112,002612-block5,
113,002612-block1,
114,002612-block4,
115,002613-block2,
116,002613-block4,
117,002613-block1,
118,002613-block3,
119,002614-block1,
120,002614-block2,
121,002701-block1,
122,002701-block2,
123,002702-block4,
124,002702-block1,
125,002702-block3,
126,002702-block2,
127,002801-block2,
128,002801-block1,
129,002801-block3,
130,002802-block1,
131,002802-block2,
132,002900-block2,
133,002900-block1,
134,003000-block2,
135,003000-block1,
136,005601-block2,
137,005601-block3,
138,005601-block1,
139,005602-block2,
140,005602-block3,
141,005602-block1,
142,005701-block2,
143,005701-block3,
144,005701-block1,
145,005702-block1,
146,005702-block2,
147,005800-block3,
148,005800-block2,
149,005800-block1,
150,002401-block1,
151,002402-block2,
152,002402-block3,
153,002402-block1,
154,002503-block1,
155,002503-block2,
156,002504-block1,
157,002504-block2,
158,002504-block4,
159,002504-block3,
160,005800-block3,
161,005800-block2,
162,005800-block1,
