,charleston_central,edisto_island,james_island,johns_island,kiawah_island.seabrook_island,mcclellanville,mount_pleasant,north_charleston,ravenel.hollywood,wadmalaw_island,west_ashley
0,000100-block3,002300-block1,001901-block3,002103-block2,002104-block2,005001-block1,004607-block4,003104-block1,002401-block1,002200-block1,002604-block2
1,000100-block2,002300-block2,001901-block1,002103-block1,002104-block1,005001-block2,004607-block1,003104-block2,002402-block2,002200-block2,002604-block1
2,000100-block1,,001901-block2,002103-block4,002105-block2,005002-block1,004607-block3,003105-block2,002402-block3,,002604-block3
3,000200-block1,,001902-block3,002103-block3,002105-block1,005002-block3,004607-block2,003105-block1,002402-block1,,002605-block2
4,000200-block2,,001902-block1,002106-block1,,005002-block4,004609-block1,003106-block4,002503-block1,,002605-block1
5,000400-block2,,001902-block2,002106-block2,,,004609-block4,003106-block1,002503-block2,,002606-block2
6,000400-block1,,002002-block2,002107-block1,,,004609-block2,003106-block3,002504-block1,,002606-block1
7,000500-block2,,002002-block1,002107-block4,,,004609-block3,003106-block2,002504-block2,,002611-block1
8,000500-block1,,002002-block3,002107-block3,,,004610-block1,003107-block2,002504-block4,,002611-block2
9,000600-block1,,002002-block4,002107-block2,,,004610-block2,003107-block1,002504-block3,,002612-block3
10,000700-block1,,002004-block1,002108-block2,,,004612-block4,003107-block3,005800-block3,,002612-block2
11,000700-block2,,002004-block2,002108-block1,,,004612-block3,003108-block1,005800-block2,,002612-block5
12,000900-block1,,002005-block1,,,,004612-block1,003108-block2,005800-block1,,002612-block1
13,000900-block2,,002005-block2,,,,004612-block2,003109-block1,,,002612-block4
14,001000-block2,,002005-block3,,,,004613-block1,003109-block2,,,002613-block2
15,001000-block1,,002006-block2,,,,004614-block1,003110-block4,,,002613-block4
16,001100-block1,,002006-block3,,,,004614-block3,003110-block1,,,002613-block1
17,001100-block2,,002006-block1,,,,004614-block2,003110-block3,,,002613-block3
18,001100-block3,,002007-block2,,,,004615-block1,003110-block2,,,002614-block1
19,001500-block2,,002007-block1,,,,004615-block2,003111-block1,,,002614-block2
20,001500-block1,,002008-block2,,,,004615-block3,003111-block4,,,002701-block1
21,004400-block1,,002008-block3,,,,004616-block3,003111-block3,,,002701-block2
22,004400-block2,,002008-block1,,,,004616-block2,003111-block2,,,002702-block4
23,005100-block1,,002009-block1,,,,004616-block1,003113-block1,,,002702-block1
24,005300-block1,,002009-block2,,,,004617-block1,003113-block2,,,002702-block3
25,005300-block2,,002009-block3,,,,004617-block2,003115-block3,,,002702-block2
26,005300-block3,,,,,,004618-block1,003115-block2,,,002801-block2
27,005400-block2,,,,,,004618-block2,003115-block1,,,002801-block1
28,005400-block1,,,,,,004619-block1,003116-block3,,,002801-block3
29,005900-block2,,,,,,004619-block2,003116-block2,,,002802-block1
30,005900-block1,,,,,,004619-block3,003116-block1,,,002802-block2
31,005900-block3,,,,,,004620-block1,003117-block1,,,002900-block2
32,,,,,,,004620-block2,003117-block2,,,002900-block1
33,,,,,,,004620-block3,003200-block2,,,003000-block2
34,,,,,,,004621-block1,003200-block1,,,003000-block1
35,,,,,,,004621-block4,003300-block2,,,005601-block2
36,,,,,,,004621-block3,003300-block4,,,005601-block3
37,,,,,,,004621-block2,003300-block3,,,005601-block1
38,,,,,,,004622-block1,003300-block1,,,005602-block2
39,,,,,,,004622-block2,003400-block1,,,005602-block3
40,,,,,,,004701-block4,003400-block4,,,005602-block1
41,,,,,,,004701-block1,003400-block3,,,005701-block2
42,,,,,,,004701-block3,003400-block2,,,005701-block3
43,,,,,,,004701-block2,003500-block2,,,005701-block1
44,,,,,,,004702-block1,003500-block1,,,005702-block1
45,,,,,,,004800-block2,003600-block1,,,005702-block2
46,,,,,,,004800-block1,003600-block3,,,005800-block3
47,,,,,,,004901-block2,003600-block2,,,005800-block2
48,,,,,,,004901-block1,003700-block2,,,005800-block1
49,,,,,,,004902-block1,003700-block3,,,
50,,,,,,,004902-block2,003700-block1,,,
51,,,,,,,004902-block3,003800-block2,,,
52,,,,,,,,003800-block1,,,
53,,,,,,,,003800-block3,,,
54,,,,,,,,003900-block2,,,
55,,,,,,,,003900-block3,,,
56,,,,,,,,003900-block1,,,
57,,,,,,,,004000-block1,,,
58,,,,,,,,004000-block2,,,
59,,,,,,,,004300-block3,,,
60,,,,,,,,004300-block2,,,
61,,,,,,,,004300-block1,,,
62,,,,,,,,004300-block4,,,
63,,,,,,,,004400-block1,,,
64,,,,,,,,004400-block2,,,
65,,,,,,,,005400-block2,,,
66,,,,,,,,005400-block1,,,
67,,,,,,,,005500-block1,,,
68,,,,,,,,005500-block2,,,
